Time,Voltage
402,84.5
403,84.64
404,84.78
405,84.92
406,85.06
407,85.2
408,85.34
409,85.48
410,85.62
411,85.76
412,85.9
413,86.04
414,86.18
415,86.32
416,86.46
417,86.6
418,86.73
419,86.87
420,87.01
421,87.15
422,87.29
423,87.42
424,87.56
425,87.7
426,87.83
427,87.97000000000001
428,88.11
429,88.24
430,88.38
431,88.51
432,88.65
433,88.78
434,88.92
435,89.05
436,89.19000000000001
437,89.32
438,89.46
439,89.59
440,89.72
441,89.86
442,89.99
443,90.12
444,90.26
445,90.39
446,90.52000000000001
447,90.64999999999999
448,90.78
449,90.91000000000001
450,91.05000000000001
451,91.17999999999999
452,91.31
453,91.44
454,91.57
455,91.7
456,91.83
457,91.96
458,92.09
459,92.22
460,92.35000000000001
461,92.48
462,92.61
463,92.73
464,92.86
465,92.99000000000001
466,93.11999999999999
467,93.25
468,93.38000000000001
469,93.5
470,93.63000000000001
471,93.75999999999999
472,93.88000000000001
473,94.00999999999999
474,94.13000000000001
475,94.25999999999999
476,94.39
477,94.50999999999999
478,94.64
479,94.75999999999999
480,94.89
481,95.00999999999999
482,95.14
483,95.25999999999999
484,95.39
485,95.50999999999999
486,95.64
487,95.75999999999999
488,95.89
489,96.01
490,96.13
491,96.26
492,96.38
493,96.5
494,96.62
495,96.75
496,96.87
497,96.99000000000001
498,97.11
499,97.24
500,97.36
501,97.48
502,97.60000000000001
503,97.72
504,97.84
505,97.96000000000001
506,98.08
507,98.19999999999999
508,98.32000000000001
509,98.44
510,98.55999999999999
511,98.68
512,98.8
513,98.91999999999999
514,99.04
515,99.16
516,99.27
517,99.39
518,99.51
519,99.63
520,99.75
521,99.86
522,99.98
523,100.1
