Time,Voltage
0,0.02
1.062384843826294,0.2
2.1001687049865723,0.36000000000000004
3.1466169357299805,0.5199999999999999
4.173966407775879,0.68
5.209577560424805,0.8400000000000001
6.24918270111084,1.0
7.288682222366333,1.16
8.326097011566162,1.32
9.368438482284546,1.48
10.388651609420776,1.63
11.438759326934814,1.79
12.47743821144104,1.95
13.513868808746338,2.1
14.544808626174927,2.26
15.586302042007446,2.42
16.626179695129395,2.57
17.667601585388184,2.73
18.692957401275635,2.8800000000000003
19.73781394958496,3.04
20.77746033668518,3.19
21.804519414901733,3.35
22.863556146621704,3.5
23.889970541000366,3.66
24.92548394203186,3.81
25.956749439239502,3.96
27.001030921936035,4.12
28.039652585983276,4.2700000000000005
29.073194980621338,4.42
30.12942147254944,4.57
31.166429042816162,4.7299999999999995
32.20437002182007,4.88
33.23136258125305,5.029999999999999
34.26421928405762,5.18
35.30533146858215,5.33
36.34539484977722,5.4799999999999995
37.38568043708801,5.64
38.42639470100403,5.79
39.44950294494629,5.94
40.49884557723999,6.09
41.53881478309631,6.24
42.580005168914795,6.39
43.618502378463745,6.54
44.655916929244995,6.6899999999999995
45.68433737754822,6.84
46.72564625740051,6.989999999999999
47.76805639266968,7.13
48.80802369117737,7.28
49.84881114959717,7.43
50.87375497817993,7.58
51.92164134979248,7.7299999999999995
52.95831656455994,7.88
53.99864411354065,8.02
55.045525312423706,8.17
56.07304239273071,8.319999999999999
57.10442805290222,8.47
58.15604019165039,8.61
59.18427801132202,8.76
60.21858072280884,8.9
61.25814723968506,9.05
62.29360222816467,9.2
63.32355570793152,9.34
64.36733222007751,9.49
65.40212178230286,9.629999999999999
66.44500660896301,9.780000000000001
67.48044991493225,9.93
68.52297759056091,10.07
69.55910134315491,10.21
70.58556938171387,10.36
71.63593196868896,10.5
72.67035365104675,10.65
73.7160894870758,10.79
74.74863982200623,10.94
75.78390383720398,11.08
76.820716381073,11.22
77.8626880645752,11.37
78.90911746025085,11.51
79.94973134994507,11.65
80.99918246269226,11.799999999999999
82.02891683578491,11.94
83.06294178962708,12.08
84.10849666595459,12.22
85.13823246955872,12.370000000000001
86.17722964286804,12.51
87.21452116966248,12.65
88.23976421356201,12.79
89.28463864326477,12.93
90.32719731330872,13.07
91.36923909187317,13.22
92.39328789710999,13.360000000000001
93.43100476264954,13.5
94.4774751663208,13.639999999999999
95.5139901638031,13.780000000000001
96.55581521987915,13.92
97.58762645721436,14.059999999999999
98.62468028068542,14.200000000000001
99.66637372970581,14.34
100.713942527771,14.48
101.74185919761658,14.62
102.77870202064514,14.76
103.81500196456909,14.89
104.84628820419312,15.03
105.8867015838623,15.17
106.9242639541626,15.31
107.97822260856628,15.450000000000001
109.00993204116821,15.59
110.04729676246643,15.73
111.07364296913147,15.86
112.12709498405457,16.0
113.15227222442627,16.14
114.19806432723999,16.279999999999998
115.23447823524475,16.41
116.27716135978699,16.549999999999997
117.31340265274048,16.69
118.35487151145935,16.830000000000002
119.40097451210022,16.96
120.43457508087158,17.1
121.47719502449036,17.24
122.5062530040741,17.37
123.5546805858612,17.51
124.5878586769104,17.64
125.6274402141571,17.78
126.66833686828613,17.919999999999998
127.6933913230896,18.05
128.72930908203125,18.19
129.7687828540802,18.32
130.81417512893677,18.46
131.84427285194397,18.59
132.88618779182434,18.72
133.93057918548584,18.86
134.9535472393036,18.99
135.99834299087524,19.130000000000003
137.03508257865906,19.259999999999998
138.07862210273743,19.400000000000002
